STATE,CITY,DAY,MONTH,HARM_EV,MAN_COLL,TYP_INT,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS,DRUNK_DR
1,890,20,4,8,0,1,1,2,1,0,1,0,0,0,1,0
1,100,19,4,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,18,4,12,1,1,0,1,1,0,1,0,0,0,1,0
1,0,3,4,12,6,2,0,2,10,0,10,0,0,0,1,0
1,890,21,4,12,6,1,0,1,1,0,1,0,0,0,1,0
1,0,31,3,1,0,1,0,1,1,0,1,0,0,0,2,0
1,0,9,3,12,1,1,0,2,10,0,10,0,0,0,1,2
1,0,20,6,12,1,1,0,2,10,0,10,0,0,0,1,1
1,2100,26,6,52,0,1,0,1,1,0,1,0,0,0,1,0
1,350,2,7,38,0,1,0,1,1,0,1,14,0,0,1,0
1,0,5,7,12,1,1,0,2,1,0,1,26,0,0,1,0
1,200,9,7,12,1,1,0,1,1,0,1,0,0,0,2,0
1,0,14,7,12,1,1,0,2,10,0,10,0,0,0,1,0
1,0,14,7,8,0,1,0,2,1,0,1,19,0,0,1,0
1,0,20,7,42,0,1,0,1,1,0,1,0,0,0,1,0
1,0,11,6,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,13,6,12,2,1,0,1,10,0,10,0,0,0,1,0
1,0,23,6,30,0,1,0,2,10,0,10,0,0,0,1,0
1,350,24,6,33,0,1,0,1,10,0,10,0,0,0,1,0
